sample_type,p_curved,p_MRW,run_id
boundary_mrw,0.223338320851326,0.3047814667224884,latest_eval
curved_mrw,0.8008210062980652,0.8664119839668274,latest_eval
noisy_mono,0.1638486981391906,0.2616628408432007,latest_eval
noisy_mrw,0.3304344415664673,0.3668951392173767,latest_eval
heavy_tail_distorted,0.3365895748138428,0.0747342258691787,latest_eval
regime_apparent,0.4622563123703003,0.1516808122396469,latest_eval
ambiguous_mild_curvature,0.4771446287631988,0.4589241147041321,latest_eval
linear_mono,0.0204071719199419,0.1237361207604408,latest_eval
boundary_mrw,0.2332892119884491,0.3128173053264618,latest_eval
curved_mrw,0.9298009872436525,0.9706032872200012,latest_eval
noisy_mono,0.1201579049229621,0.2198790907859802,latest_eval
noisy_mrw,0.243649885058403,0.3102375566959381,latest_eval
heavy_tail_distorted,0.3333123922348022,0.0634355172514915,latest_eval
regime_apparent,0.4248977303504944,0.1100672334432601,latest_eval
ambiguous_mild_curvature,0.422254353761673,0.4143579006195068,latest_eval
linear_mono,0.028460057452321,0.1326735317707061,latest_eval
boundary_mrw,0.3115978837013244,0.3744361400604248,latest_eval
curved_mrw,0.9690243005752563,0.9908317923545836,latest_eval
noisy_mono,0.1689842343330383,0.2621492445468902,latest_eval
noisy_mrw,0.2229216992855072,0.2958335876464844,latest_eval
heavy_tail_distorted,0.3192670047283172,0.0303513221442699,latest_eval
regime_apparent,0.4401547312736511,0.1205383911728859,latest_eval
ambiguous_mild_curvature,0.4823141396045685,0.4639319479465484,latest_eval
linear_mono,0.0194516684859991,0.1217770501971244,latest_eval
boundary_mrw,0.1778172254562378,0.2841982245445251,latest_eval
curved_mrw,0.9530450105667114,0.9810723662376404,latest_eval
noisy_mono,0.1547479927539825,0.2558093667030334,latest_eval
noisy_mrw,0.2298349291086197,0.2986587584018707,latest_eval
heavy_tail_distorted,0.3213504552841186,0.041627611964941,latest_eval
regime_apparent,0.436079204082489,0.120873786509037,latest_eval
ambiguous_mild_curvature,0.426606684923172,0.4163671135902405,latest_eval
linear_mono,0.0279983691871166,0.1320664435625076,latest_eval
boundary_mrw,0.255850076675415,0.3355863094329834,latest_eval
curved_mrw,0.9458314776420592,0.9761509895324708,latest_eval
noisy_mono,0.1206391528248786,0.2250932604074478,latest_eval
noisy_mrw,0.6461330652236938,0.6958976984024048,latest_eval
heavy_tail_distorted,0.3489295840263366,0.0782520547509193,latest_eval
regime_apparent,0.4451270997524261,0.1193010956048965,latest_eval
ambiguous_mild_curvature,0.4078609645366668,0.4003688395023346,latest_eval
linear_mono,0.0251942779868841,0.1283778995275497,latest_eval
boundary_mrw,0.2233747988939285,0.3179016411304474,latest_eval
curved_mrw,0.9435076117515564,0.9790046215057372,latest_eval
noisy_mono,0.2094897478818893,0.2903822362422943,latest_eval
noisy_mrw,0.9037584066390992,0.9593749046325684,latest_eval
heavy_tail_distorted,0.3510787487030029,0.0339842066168785,latest_eval
regime_apparent,0.4388737380504608,0.123322881758213,latest_eval
