time,omega_t,increment,path,H,lambda2,L,seed
149.0,-0.382150650024414,-0.0088606895878911,0.3812782764434814,0.6,0.12,512,2026
150.0,-0.3763831853866577,-0.0022499987389892,0.3790282607078552,0.6,0.12,512,2026
151.0,-0.378151386976242,0.0049681700766086,0.3839964568614959,0.6,0.12,512,2026
152.0,-0.3767018914222717,-0.0043292385526001,0.379667192697525,0.6,0.12,512,2026
153.0,-0.3727528154850006,0.0081751635298132,0.3878423571586609,0.6,0.12,512,2026
154.0,-0.3692536354064941,-0.0016989217838272,0.3861434459686279,0.6,0.12,512,2026
155.0,-0.3732783198356628,0.0003897106216754,0.3865331709384918,0.6,0.12,512,2026
156.0,-0.365869402885437,0.0240973122417926,0.410630464553833,0.6,0.12,512,2026
157.0,-0.3671046495437622,0.0052640782669186,0.4158945381641388,0.6,0.12,512,2026
158.0,-0.3624194860458374,0.0123896058648824,0.4282841682434082,0.6,0.12,512,2026
159.0,-0.3604463934898376,-0.0036462710704654,0.424637883901596,0.6,0.12,512,2026
160.0,-0.3486098051071167,0.0136052770540118,0.4382431507110595,0.6,0.12,512,2026
161.0,-0.3488525152206421,-0.0172762125730514,0.4209669530391693,0.6,0.12,512,2026
162.0,-0.3501247465610504,0.001721499604173,0.4226884543895721,0.6,0.12,512,2026
163.0,-0.3487517833709717,0.0011849353322759,0.4238733947277069,0.6,0.12,512,2026
164.0,-0.342395544052124,0.0023021183442324,0.4261755049228668,0.6,0.12,512,2026
165.0,-0.3550406992435455,-0.0095233134925365,0.4166522026062011,0.6,0.12,512,2026
166.0,-0.3581880033016205,-0.007371605373919,0.4092805981636047,0.6,0.12,512,2026
167.0,-0.3573083281517029,-0.0115373348817229,0.3977432548999786,0.6,0.12,512,2026
168.0,-0.3613127768039703,-0.008439433760941,0.3893038034439087,0.6,0.12,512,2026
169.0,-0.3686889410018921,-0.001536383992061,0.3877674341201782,0.6,0.12,512,2026
170.0,-0.3696997165679931,0.0188040416687726,0.406571477651596,0.6,0.12,512,2026
171.0,-0.3722863793373108,0.0031495108269155,0.4097209870815277,0.6,0.12,512,2026
172.0,-0.368385374546051,0.025427758693695,0.4351487457752228,0.6,0.12,512,2026
173.0,-0.3588125705718994,0.0232328977435827,0.4583816528320312,0.6,0.12,512,2026
174.0,-0.3655298352241516,0.0212624203413724,0.4796440601348877,0.6,0.12,512,2026
175.0,-0.3634249567985534,-0.0046409997157752,0.4750030636787414,0.6,0.12,512,2026
176.0,-0.3614811301231384,-0.0050673773512244,0.4699356853961944,0.6,0.12,512,2026
177.0,-0.3677982687950134,0.0049420311115682,0.4748777151107788,0.6,0.12,512,2026
178.0,-0.3751473724842071,-0.0108791105449199,0.4639986157417297,0.6,0.12,512,2026
179.0,-0.3710896968841553,-0.0204030349850654,0.4435955584049225,0.6,0.12,512,2026
180.0,-0.3776861131191253,0.0055676833726465,0.4491632580757141,0.6,0.12,512,2026
181.0,-0.3881974220275879,0.0178828220814466,0.4670460820198059,0.6,0.12,512,2026
182.0,-0.3875243961811065,-0.0062830322422087,0.4607630372047424,0.6,0.12,512,2026
183.0,-0.3929236233234405,-0.0015151666011661,0.459247887134552,0.6,0.12,512,2026
184.0,-0.3913115561008453,0.00606490066275,0.4653127789497375,0.6,0.12,512,2026
185.0,-0.3847554624080658,0.0132589461281895,0.4785717129707336,0.6,0.12,512,2026
186.0,-0.3868386745452881,0.0090057607740163,0.4875774979591369,0.6,0.12,512,2026
187.0,-0.3889716267585754,0.007016166113317,0.4945936501026153,0.6,0.12,512,2026
188.0,-0.391883373260498,-0.0183089859783649,0.4762846529483795,0.6,0.12,512,2026
189.0,-0.3966444730758667,0.000410545442719,0.4766952097415924,0.6,0.12,512,2026
190.0,-0.4019766747951507,-0.0142333405092358,0.4624618589878082,0.6,0.12,512,2026
191.0,-0.4033463597297668,-0.0075644049793481,0.4548974633216858,0.6,0.12,512,2026
192.0,-0.4009338915348053,-0.0090194484218955,0.4458780288696289,0.6,0.12,512,2026
193.0,-0.3969199061393738,0.0022612600587308,0.4481392800807953,0.6,0.12,512,2026
194.0,-0.3825814723968506,-0.0080336742103099,0.4401056170463562,0.6,0.12,512,2026
195.0,-0.3871625959873199,0.0007245388114824,0.4408301413059234,0.6,0.12,512,2026
196.0,-0.3931749165058136,-0.0023285811766982,0.4385015666484833,0.6,0.12,512,2026
197.0,-0.3888986110687256,-0.0051084361039102,0.433393120765686,0.6,0.12,512,2026
198.0,-0.4043498933315277,0.0131309116259217,0.4465240240097046,0.6,0.12,512,2026
199.0,-0.396304190158844,0.0090580964460968,0.4555821418762207,0.6,0.12,512,2026
200.0,-0.3963420391082763,0.0238902028650045,0.4794723391532898,0.6,0.12,512,2026
201.0,-0.3948889672756195,-0.0010697820689529,0.4784025549888611,0.6,0.12,512,2026
202.0,-0.400627851486206,-0.0067789396271109,0.4716235995292663,0.6,0.12,512,2026
203.0,-0.3940922319889068,0.0207349341362714,0.492358535528183,0.6,0.12,512,2026
204.0,-0.3946076035499573,0.0127692716196179,0.5051278471946716,0.6,0.12,512,2026
205.0,-0.3974020481109619,0.0022003080230206,0.5073281526565552,0.6,0.12,512,2026
206.0,-0.3969473242759704,0.0123953074216842,0.5197234153747559,0.6,0.12,512,2026
207.0,-0.3922429978847503,-0.0182537157088518,0.5014697313308716,0.6,0.12,512,2026
208.0,-0.3951705694198608,-0.004705203231424,0.4967645108699798,0.6,0.12,512,2026
209.0,-0.3910641372203827,-0.0099078249186277,0.4868566989898681,0.6,0.12,512,2026
210.0,-0.3864110708236694,0.0028392686508595,0.4896959662437439,0.6,0.12,512,2026
211.0,-0.38994961977005,0.0132280690595507,0.5029240250587463,0.6,0.12,512,2026
212.0,-0.3949413895606994,0.0037530162371695,0.5066770315170288,0.6,0.12,512,2026
213.0,-0.396102637052536,0.0032730223610997,0.5099500417709351,0.6,0.12,512,2026
214.0,-0.3982064723968506,-0.0119957532733678,0.4979543089866638,0.6,0.12,512,2026
215.0,-0.3995051980018616,-0.0023946752771735,0.4955596327781677,0.6,0.12,512,2026
216.0,-0.3918786644935608,0.0139820557087659,0.5095416903495789,0.6,0.12,512,2026
217.0,-0.3970438539981842,0.0106203835457563,0.5201621055603027,0.6,0.12,512,2026
218.0,-0.3973029553890228,0.0082138795405626,0.5283759832382202,0.6,0.12,512,2026
219.0,-0.3985966444015503,0.0024985407944768,0.530874490737915,0.6,0.12,512,2026
220.0,-0.3965396881103515,-0.0044749546796083,0.526399552822113,0.6,0.12,512,2026
221.0,-0.4013399481773376,-0.0010559394722804,0.5253435969352722,0.6,0.12,512,2026
222.0,-0.3932359516620636,-0.0011163764866068,0.5242272019386292,0.6,0.12,512,2026
223.0,-0.3891638517379761,0.0064221411012113,0.5306493639945984,0.6,0.12,512,2026
224.0,-0.3851330578327179,0.0296732950955629,0.560322642326355,0.6,0.12,512,2026
225.0,-0.393383264541626,0.0056420960463583,0.5659647583961487,0.6,0.12,512,2026
226.0,-0.3895666003227234,-0.001595901325345,0.5643688440322876,0.6,0.12,512,2026
227.0,-0.3862649202346802,0.012749028392136,0.5771178603172302,0.6,0.12,512,2026
228.0,-0.3873458206653595,-0.0141702843829989,0.5629476308822632,0.6,0.12,512,2026
229.0,-0.3939418494701385,-0.001950864563696,0.5609967708587646,0.6,0.12,512,2026
230.0,-0.390041708946228,-0.0173536408692598,0.5436431169509888,0.6,0.12,512,2026
231.0,-0.3893942236900329,-0.0093203857541084,0.5343227386474609,0.6,0.12,512,2026
232.0,-0.3809673488140106,-0.0030508376657962,0.5312718749046326,0.6,0.12,512,2026
