t,x,dx,omega,H,lambda2,L,seed
160.0,0.43824315071105957,0.013605277054011822,-0.3486098051071167,0.6,0.12,512,2026
161.0,0.4209669530391693,-0.017276212573051453,-0.3488525152206421,0.6,0.12,512,2026
162.0,0.42268845438957214,0.0017214996041730046,-0.3501247465610504,0.6,0.12,512,2026
163.0,0.4238733947277069,0.001184935332275927,-0.3487517833709717,0.6,0.12,512,2026
164.0,0.4261755049228668,0.00230211834423244,-0.342395544052124,0.6,0.12,512,2026
165.0,0.41665220260620117,-0.009523313492536545,-0.35504069924354553,0.6,0.12,512,2026
166.0,0.40928059816360474,-0.00737160537391901,-0.3581880033016205,0.6,0.12,512,2026
167.0,0.39774325489997864,-0.011537334881722927,-0.3573083281517029,0.6,0.12,512,2026
168.0,0.3893038034439087,-0.008439433760941029,-0.36131277680397034,0.6,0.12,512,2026
169.0,0.3877674341201782,-0.001536383992061019,-0.3686889410018921,0.6,0.12,512,2026
170.0,0.40657147765159607,0.018804041668772697,-0.36969971656799316,0.6,0.12,512,2026
171.0,0.4097209870815277,0.0031495108269155025,-0.3722863793373108,0.6,0.12,512,2026
172.0,0.4351487457752228,0.02542775869369507,-0.368385374546051,0.6,0.12,512,2026
173.0,0.45838165283203125,0.023232897743582726,-0.3588125705718994,0.6,0.12,512,2026
174.0,0.4796440601348877,0.02126242034137249,-0.3655298352241516,0.6,0.12,512,2026
175.0,0.47500306367874146,-0.004640999715775251,-0.36342495679855347,0.6,0.12,512,2026
176.0,0.46993568539619446,-0.0050673773512244225,-0.3614811301231384,0.6,0.12,512,2026
177.0,0.4748777151107788,0.0049420311115682125,-0.3677982687950134,0.6,0.12,512,2026
178.0,0.46399861574172974,-0.010879110544919968,-0.37514737248420715,0.6,0.12,512,2026
179.0,0.4435955584049225,-0.02040303498506546,-0.3710896968841553,0.6,0.12,512,2026
180.0,0.4491632580757141,0.00556768337264657,-0.37768611311912537,0.6,0.12,512,2026
181.0,0.4670460820198059,0.017882822081446648,-0.3881974220275879,0.6,0.12,512,2026
182.0,0.46076303720474243,-0.006283032242208719,-0.38752439618110657,0.6,0.12,512,2026
183.0,0.459247887134552,-0.0015151666011661291,-0.39292362332344055,0.6,0.12,512,2026
184.0,0.46531277894973755,0.006064900662750006,-0.39131155610084534,0.6,0.12,512,2026
185.0,0.47857171297073364,0.013258946128189564,-0.3847554624080658,0.6,0.12,512,2026
186.0,0.48757749795913696,0.00900576077401638,-0.3868386745452881,0.6,0.12,512,2026
187.0,0.49459365010261536,0.007016166113317013,-0.38897162675857544,0.6,0.12,512,2026
188.0,0.4762846529483795,-0.018308985978364944,-0.39188337326049805,0.6,0.12,512,2026
189.0,0.4766952097415924,0.0004105454427190125,-0.3966444730758667,0.6,0.12,512,2026
190.0,0.4624618589878082,-0.014233340509235859,-0.40197667479515076,0.6,0.12,512,2026
191.0,0.4548974633216858,-0.007564404979348183,-0.40334635972976685,0.6,0.12,512,2026
192.0,0.4458780288696289,-0.009019448421895504,-0.4009338915348053,0.6,0.12,512,2026
193.0,0.4481392800807953,0.0022612600587308407,-0.3969199061393738,0.6,0.12,512,2026
194.0,0.4401056170463562,-0.008033674210309982,-0.3825814723968506,0.6,0.12,512,2026
195.0,0.44083014130592346,0.0007245388114824891,-0.38716259598731995,0.6,0.12,512,2026
196.0,0.4385015666484833,-0.002328581176698208,-0.3931749165058136,0.6,0.12,512,2026
197.0,0.43339312076568604,-0.005108436103910208,-0.3888986110687256,0.6,0.12,512,2026
198.0,0.4465240240097046,0.013130911625921726,-0.4043498933315277,0.6,0.12,512,2026
