version,T,process_type,mean_p_scaling,mean_p_curved,mean_p_mrw,mean_p_mono,mean_boundary_mrw_score,mean_residual_norm,mean_mono_residual_norm,mean_gain
v3,256,Shuffled MRW,0.9998693817191654,0.3027511540386411,0.4440174695518282,0.7309641841385099,0.4585408465729819,0.0506048385260833,0.0514453312589062,0.0501422665877423
v3,256,fGn,0.999903338485294,0.5027555002106561,0.6446880112091701,0.6237738652361764,0.5714299228456285,0.0390475674842794,0.055889018645717,0.2788119107070896
v3,256,iid Gaussian,0.9999274442593256,0.282474232216676,0.4200564603010813,0.7469112008810044,0.4428460756937663,0.0499177980547149,0.0490280863208075,0.0300158389029093
v3,256,iid Student-t,0.9969567636648814,0.2937763465775383,0.3789150006241268,0.45611356165674,0.3172519445419312,0.2725365545600652,0.2864404222203625,0.0463548016682681
v3,512,"GARCH(1,1)",0.9959049304326376,0.287847622235616,0.3687763452529907,0.4725030745069186,0.3058339049418767,0.2761992801601688,0.3001399658620357,0.0658050912432372
v3,512,Low-lambda2 MRW,0.9998843709627788,0.5127756079037984,0.6538052300612132,0.6243115832408269,0.5877492785453796,0.0380299954364697,0.054186192775766,0.2799528194591403
v3,512,MRW,0.9998681286970774,0.5272541170318922,0.6605867721140385,0.6194244839251042,0.600881639868021,0.0382884443737566,0.0530512223330636,0.266415013683339
v3,512,Regime-switching Gaussian,0.996845950682958,0.2854949484268824,0.3644558385014534,0.4349979137380917,0.2945683017373085,0.3048843225153784,0.3292278583782415,0.0691454033988217
v3,512,Shuffled MRW,0.9999156951904296,0.2600464491380586,0.3900985360145569,0.7623725665940179,0.4186601092418034,0.0498663368117478,0.0460589508215586,0.0078701726264423
v3,512,fGn,0.9999445875485738,0.5318499366442363,0.6611756914191775,0.6227350837654537,0.6001271191570494,0.0381313997838232,0.0530931218216816,0.2716011564583621
v3,512,iid Gaussian,0.999975006779035,0.2527917270859082,0.3813594887653986,0.7666785548130671,0.4200416023532549,0.0512333965549866,0.047072828747332,0.0011087125322471
v3,512,iid Student-t,0.995909356408649,0.2829524111416605,0.3613562918371624,0.3926656633615494,0.2932647688521279,0.344204572836558,0.3663686795367135,0.057805949056314
v3,1024,"GARCH(1,1)",0.9961647401253384,0.2816097483038902,0.359431184331576,0.4151187817255656,0.2864954789479573,0.3353252947951357,0.370139669564863,0.087509817071259
v3,1024,Low-lambda2 MRW,0.9998728493849436,0.529692734281222,0.6562467704216639,0.6248271365960439,0.5975963612397511,0.0407623179877797,0.0545644511779149,0.2586249177654584
v3,1024,MRW,0.999865393837293,0.5295728584130605,0.6555214030047257,0.6257109776139259,0.6084077308575312,0.0379200240597128,0.0507775769413759,0.2466570463768827
v3,1024,Regime-switching Gaussian,0.9961406926314036,0.2839300975203514,0.3631219123800596,0.3873091280460358,0.283702777326107,0.3530499532818794,0.3834053890158733,0.0780898594607909
v3,1024,Shuffled MRW,0.9999638299147288,0.2446782204839918,0.3670426030953725,0.7742208699385326,0.3921351760625839,0.0494678936070866,0.0442245664695898,0.0
v3,1024,fGn,0.9999299559328292,0.5141561662157377,0.6389141642385059,0.6354083789719476,0.5955684983068043,0.0382290879471434,0.0499537598755624,0.2313995087913806
v3,1024,iid Gaussian,0.999946102499962,0.2467184779544671,0.3702440083026886,0.7723022113243739,0.3951681936780611,0.0506320007145404,0.0451193631937106,0.0
v3,1024,iid Student-t,0.9955947266684638,0.2804065416256586,0.3596967034869723,0.3640487290090984,0.2833597057395511,0.3757567099399037,0.4045746990376048,0.0712492440309789
v3,2048,"GARCH(1,1)",0.9952000776926676,0.2809464255968729,0.3604318728049596,0.3737173050642013,0.2812703177332878,0.3808187335729599,0.4218941108013193,0.0963208346317211
